symptoms,disease,description,precautions
"vomiting, severe headache, nausea",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"nausea, severe headache, sensitivity to light",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"fatigue, body ache, sore throat",Flu,A viral infection that attacks the respiratory system.,"Rest, drink fluids, take fever medicine, consult doctor if severe."
"cough, shortness of breath, wheezing",Asthma,A condition where airways narrow and swell.,"Avoid allergens, carry inhaler, follow doctor advice."
"shortness of breath, dizziness, pale skin",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"vomiting, stomach pain, fever",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"wheezing, cough, chest tightness",Asthma,A condition where airways narrow and swell.,"Avoid allergens, carry inhaler, follow doctor advice."
"pale skin, dizziness, fatigue",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"shortness of breath, headache, chest pain",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"blurred vision, fatigue, increased thirst",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"pale skin, fatigue, shortness of breath",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"sneezing, sore throat, runny nose",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"blurred vision, fatigue, increased thirst",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"pale skin, shortness of breath, fatigue",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"increased thirst, fatigue, frequent urination",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"vomiting, sensitivity to light, severe headache",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"cough, fever, fatigue",Flu,A viral infection that attacks the respiratory system.,"Rest, drink fluids, take fever medicine, consult doctor if severe."
"frequent urination, increased thirst, blurred vision",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"cough, body ache, fever",Flu,A viral infection that attacks the respiratory system.,"Rest, drink fluids, take fever medicine, consult doctor if severe."
"blurred vision, fatigue, frequent urination",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"increased thirst, blurred vision, fatigue",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"stomach pain, vomiting, diarrhea",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"stomach pain, diarrhea, fever",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"dizziness, shortness of breath, pale skin",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"chest pain, headache, dizziness",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"severe headache, nausea, sensitivity to light",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"frequent urination, blurred vision, fatigue",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"cough, runny nose, sore throat",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"sneezing, runny nose, cough",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"chest pain, headache, shortness of breath",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"stomach pain, vomiting, fever",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"chest pain, shortness of breath, headache",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"nausea, severe headache, sensitivity to light",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"sensitivity to light, severe headache, nausea",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"blurred vision, frequent urination, fatigue",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"nausea, sensitivity to light, severe headache",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"dizziness, shortness of breath, fatigue",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"fever, stomach pain, diarrhea",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"blurred vision, increased thirst, fatigue",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"cough, sore throat, runny nose",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"chest tightness, cough, shortness of breath",Asthma,A condition where airways narrow and swell.,"Avoid allergens, carry inhaler, follow doctor advice."
"sneezing, sore throat, cough",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"nausea, vomiting, severe headache",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"stomach pain, vomiting, diarrhea",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"shortness of breath, fatigue, dizziness",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"sneezing, sore throat, cough",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"diarrhea, stomach pain, vomiting",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"headache, shortness of breath, chest pain",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"nausea, sensitivity to light, severe headache",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"shortness of breath, dizziness, pale skin",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"fever, stomach pain, vomiting",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"fatigue, cough, fever",Flu,A viral infection that attacks the respiratory system.,"Rest, drink fluids, take fever medicine, consult doctor if severe."
"wheezing, chest tightness, cough",Asthma,A condition where airways narrow and swell.,"Avoid allergens, carry inhaler, follow doctor advice."
"chest pain, dizziness, headache",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"increased thirst, frequent urination, fatigue",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"vomiting, nausea, severe headache",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"increased thirst, frequent urination, blurred vision",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"sore throat, cough, runny nose",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"sore throat, cough, runny nose",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"vomiting, sensitivity to light, nausea",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"fever, diarrhea, stomach pain",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"chest pain, dizziness, headache",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"severe headache, nausea, sensitivity to light",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"sneezing, sore throat, runny nose",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"fatigue, sore throat, body ache",Flu,A viral infection that attacks the respiratory system.,"Rest, drink fluids, take fever medicine, consult doctor if severe."
"nausea, severe headache, vomiting",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"shortness of breath, cough, chest tightness",Asthma,A condition where airways narrow and swell.,"Avoid allergens, carry inhaler, follow doctor advice."
"dizziness, fatigue, shortness of breath",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"shortness of breath, cough, chest tightness",Asthma,A condition where airways narrow and swell.,"Avoid allergens, carry inhaler, follow doctor advice."
"fatigue, frequent urination, increased thirst",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"cough, shortness of breath, wheezing",Asthma,A condition where airways narrow and swell.,"Avoid allergens, carry inhaler, follow doctor advice."
"dizziness, chest pain, headache",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"increased thirst, frequent urination, fatigue",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"shortness of breath, pale skin, dizziness",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"cough, sore throat, body ache",Flu,A viral infection that attacks the respiratory system.,"Rest, drink fluids, take fever medicine, consult doctor if severe."
"pale skin, fatigue, shortness of breath",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"shortness of breath, chest pain, dizziness",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"diarrhea, vomiting, fever",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"chest tightness, cough, shortness of breath",Asthma,A condition where airways narrow and swell.,"Avoid allergens, carry inhaler, follow doctor advice."
"vomiting, stomach pain, fever",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"shortness of breath, fatigue, dizziness",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"shortness of breath, dizziness, fatigue",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"headache, chest pain, shortness of breath",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"pale skin, dizziness, shortness of breath",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"stomach pain, fever, diarrhea",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"sore throat, cough, sneezing",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"vomiting, fever, stomach pain",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"shortness of breath, pale skin, dizziness",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"sore throat, fatigue, fever",Flu,A viral infection that attacks the respiratory system.,"Rest, drink fluids, take fever medicine, consult doctor if severe."
"fever, vomiting, diarrhea",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"stomach pain, vomiting, diarrhea",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"sore throat, sneezing, runny nose",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"dizziness, shortness of breath, fatigue",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"sore throat, body ache, cough",Flu,A viral infection that attacks the respiratory system.,"Rest, drink fluids, take fever medicine, consult doctor if severe."
"chest tightness, cough, shortness of breath",Asthma,A condition where airways narrow and swell.,"Avoid allergens, carry inhaler, follow doctor advice."
"vomiting, diarrhea, fever",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"fatigue, increased thirst, blurred vision",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"headache, chest pain, shortness of breath",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"chest pain, shortness of breath, dizziness",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"dizziness, shortness of breath, pale skin",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"fatigue, fever, cough",Flu,A viral infection that attacks the respiratory system.,"Rest, drink fluids, take fever medicine, consult doctor if severe."
"fatigue, body ache, fever",Flu,A viral infection that attacks the respiratory system.,"Rest, drink fluids, take fever medicine, consult doctor if severe."
"shortness of breath, dizziness, chest pain",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"increased thirst, frequent urination, blurred vision",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"frequent urination, fatigue, increased thirst",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"fatigue, dizziness, pale skin",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"sneezing, cough, sore throat",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"increased thirst, blurred vision, fatigue",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"dizziness, headache, chest pain",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"sensitivity to light, vomiting, nausea",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"fatigue, blurred vision, increased thirst",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"shortness of breath, headache, dizziness",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"sneezing, cough, runny nose",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"nausea, sensitivity to light, vomiting",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"chest tightness, wheezing, shortness of breath",Asthma,A condition where airways narrow and swell.,"Avoid allergens, carry inhaler, follow doctor advice."
"body ache, sore throat, fatigue",Flu,A viral infection that attacks the respiratory system.,"Rest, drink fluids, take fever medicine, consult doctor if severe."
"sore throat, body ache, cough",Flu,A viral infection that attacks the respiratory system.,"Rest, drink fluids, take fever medicine, consult doctor if severe."
"fatigue, blurred vision, frequent urination",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"severe headache, nausea, sensitivity to light",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"increased thirst, blurred vision, fatigue",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"chest tightness, cough, wheezing",Asthma,A condition where airways narrow and swell.,"Avoid allergens, carry inhaler, follow doctor advice."
"fatigue, increased thirst, blurred vision",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"cough, shortness of breath, chest tightness",Asthma,A condition where airways narrow and swell.,"Avoid allergens, carry inhaler, follow doctor advice."
"runny nose, sneezing, sore throat",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"increased thirst, fatigue, frequent urination",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"sensitivity to light, vomiting, nausea",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"runny nose, cough, sore throat",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"headache, shortness of breath, dizziness",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"headache, dizziness, shortness of breath",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"severe headache, vomiting, nausea",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"fatigue, dizziness, pale skin",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"diarrhea, stomach pain, fever",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"dizziness, fatigue, pale skin",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"vomiting, stomach pain, diarrhea",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"cough, sore throat, runny nose",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"sensitivity to light, severe headache, vomiting",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"chest tightness, cough, shortness of breath",Asthma,A condition where airways narrow and swell.,"Avoid allergens, carry inhaler, follow doctor advice."
"fatigue, dizziness, shortness of breath",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"body ache, cough, fever",Flu,A viral infection that attacks the respiratory system.,"Rest, drink fluids, take fever medicine, consult doctor if severe."
"nausea, sensitivity to light, vomiting",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"blurred vision, increased thirst, frequent urination",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"body ache, cough, sore throat",Flu,A viral infection that attacks the respiratory system.,"Rest, drink fluids, take fever medicine, consult doctor if severe."
"sneezing, cough, sore throat",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"pale skin, fatigue, shortness of breath",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"dizziness, pale skin, shortness of breath",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"chest pain, shortness of breath, dizziness",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"cough, sore throat, sneezing",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"cough, wheezing, chest tightness",Asthma,A condition where airways narrow and swell.,"Avoid allergens, carry inhaler, follow doctor advice."
"diarrhea, vomiting, stomach pain",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"stomach pain, diarrhea, fever",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"fatigue, increased thirst, frequent urination",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"shortness of breath, chest pain, dizziness",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"severe headache, vomiting, sensitivity to light",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"cough, wheezing, shortness of breath",Asthma,A condition where airways narrow and swell.,"Avoid allergens, carry inhaler, follow doctor advice."
"fever, fatigue, body ache",Flu,A viral infection that attacks the respiratory system.,"Rest, drink fluids, take fever medicine, consult doctor if severe."
"increased thirst, blurred vision, fatigue",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"shortness of breath, chest pain, headache",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"dizziness, shortness of breath, headache",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"dizziness, shortness of breath, pale skin",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"fatigue, shortness of breath, dizziness",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"sneezing, sore throat, cough",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"chest tightness, shortness of breath, wheezing",Asthma,A condition where airways narrow and swell.,"Avoid allergens, carry inhaler, follow doctor advice."
"sneezing, sore throat, runny nose",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"headache, shortness of breath, dizziness",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"frequent urination, increased thirst, blurred vision",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"wheezing, cough, chest tightness",Asthma,A condition where airways narrow and swell.,"Avoid allergens, carry inhaler, follow doctor advice."
"wheezing, cough, chest tightness",Asthma,A condition where airways narrow and swell.,"Avoid allergens, carry inhaler, follow doctor advice."
"sneezing, cough, sore throat",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"sore throat, cough, sneezing",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"diarrhea, fever, vomiting",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"vomiting, sensitivity to light, nausea",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"chest pain, headache, shortness of breath",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"fever, body ache, fatigue",Flu,A viral infection that attacks the respiratory system.,"Rest, drink fluids, take fever medicine, consult doctor if severe."
"cough, chest tightness, wheezing",Asthma,A condition where airways narrow and swell.,"Avoid allergens, carry inhaler, follow doctor advice."
"increased thirst, blurred vision, frequent urination",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"shortness of breath, fatigue, pale skin",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"runny nose, sneezing, cough",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"frequent urination, increased thirst, fatigue",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"cough, sore throat, fever",Flu,A viral infection that attacks the respiratory system.,"Rest, drink fluids, take fever medicine, consult doctor if severe."
"fatigue, fever, cough",Flu,A viral infection that attacks the respiratory system.,"Rest, drink fluids, take fever medicine, consult doctor if severe."
"cough, fever, body ache",Flu,A viral infection that attacks the respiratory system.,"Rest, drink fluids, take fever medicine, consult doctor if severe."
"shortness of breath, pale skin, fatigue",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"nausea, vomiting, sensitivity to light",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"fever, vomiting, stomach pain",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"headache, dizziness, shortness of breath",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"fatigue, shortness of breath, pale skin",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"shortness of breath, wheezing, cough",Asthma,A condition where airways narrow and swell.,"Avoid allergens, carry inhaler, follow doctor advice."
"fever, vomiting, stomach pain",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"dizziness, headache, chest pain",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"fatigue, frequent urination, increased thirst",Diabetes,A condition where blood sugar levels are too high.,"Maintain healthy diet, exercise regularly, monitor blood sugar."
"fever, stomach pain, vomiting",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"dizziness, chest pain, headache",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
"nausea, severe headache, vomiting",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"dizziness, pale skin, fatigue",Anemia,A condition where the body lacks enough healthy red blood cells.,"Iron rich diet, supplements if prescribed."
"cough, sneezing, runny nose",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"wheezing, cough, chest tightness",Asthma,A condition where airways narrow and swell.,"Avoid allergens, carry inhaler, follow doctor advice."
"cough, sore throat, runny nose",Common Cold,A mild viral infection of the nose and throat.,"Rest, drink warm fluids, maintain hygiene."
"nausea, severe headache, sensitivity to light",Migraine,A neurological condition that causes intense headaches.,"Avoid triggers, rest in dark room, take prescribed medication."
"diarrhea, vomiting, fever",Food Poisoning,Illness caused by eating contaminated food.,"Drink clean water, eat hygienic food, stay hydrated."
"dizziness, chest pain, shortness of breath",Hypertension,A condition in which blood pressure is consistently too high.,"Reduce salt intake, exercise, regular BP checkups."
